npm verbose cli C:\Users\Phumeh\.nvm\versions\node\v22.19.0\bin\node.exe C:\Users\Phumeh\.nvm\versions\node\v22.19.0\bin\node_modules\npm\bin\npm-cli.js
npm info using npm@10.9.3
npm info using node@v22.19.0
npm verbose title npm install
npm verbose argv "install" "--package-lock-only" "--loglevel" "verbose"
npm verbose logfile logs-max:10 dir:C:\Users\Phumeh\AppData\Local\npm-cache\_logs\2026-05-25T12_32_36_847Z-
npm verbose logfile C:\Users\Phumeh\AppData\Local\npm-cache\_logs\2026-05-25T12_32_36_847Z-debug-0.log
npm http cache https://registry.npmmirror.com/@cloudflare%2fvite-plugin 67ms (cache hit)
npm http cache https://registry.npmmirror.com/vite 193ms (cache hit)
npm http cache https://registry.npmmirror.com/@types%2fnode 108ms (cache hit)
npm http cache https://registry.npmmirror.com/jiti 21ms (cache hit)
npm http cache https://registry.npmmirror.com/less 22ms (cache hit)
npm http cache https://registry.npmmirror.com/lightningcss 16ms (cache hit)
npm http cache https://registry.npmmirror.com/sass 27ms (cache hit)
npm http cache https://registry.npmmirror.com/sass-embedded 19ms (cache hit)
npm http cache https://registry.npmmirror.com/stylus 33ms (cache hit)
npm http cache https://registry.npmmirror.com/sugarss 24ms (cache hit)
npm http cache https://registry.npmmirror.com/postcss 21ms (cache hit)
npm http cache https://registry.npmmirror.com/terser 40ms (cache hit)
npm http cache https://registry.npmmirror.com/tsx 52ms (cache hit)
npm http cache https://registry.npmmirror.com/yaml 58ms (cache hit)
npm http cache https://registry.npmmirror.com/@hookform%2fresolvers 29ms (cache hit)
npm http cache https://registry.npmmirror.com/react-hook-form 42ms (cache hit)
npm http cache https://registry.npmmirror.com/react 116ms (cache hit)
npm http cache https://registry.npmmirror.com/@radix-ui%2freact-accordion 118ms (cache hit)
npm http cache https://registry.npmmirror.com/@types%2freact 48ms (cache hit)
npm http cache https://registry.npmmirror.com/@types%2freact-dom 49ms (cache hit)
npm http cache https://registry.npmmirror.com/react-dom 177ms (cache hit)
npm http cache https://registry.npmmirror.com/@radix-ui%2freact-alert-dialog 26ms (cache hit)
npm http cache https://registry.npmmirror.com/@radix-ui%2freact-aspect-ratio 32ms (cache hit)
npm http cache https://registry.npmmirror.com/@radix-ui%2freact-avatar 31ms (cache hit)
npm http cache https://registry.npmmirror.com/@radix-ui%2freact-checkbox 76ms (cache hit)
npm http cache https://registry.npmmirror.com/@radix-ui%2freact-collapsible 64ms (cache hit)
npm http cache https://registry.npmmirror.com/@radix-ui%2freact-context-menu 49ms (cache hit)
npm http cache https://registry.npmmirror.com/@radix-ui%2freact-dialog 23ms (cache hit)
npm http cache https://registry.npmmirror.com/@radix-ui%2freact-dropdown-menu 25ms (cache hit)
npm http cache https://registry.npmmirror.com/@radix-ui%2freact-hover-card 13ms (cache hit)
npm http cache https://registry.npmmirror.com/@radix-ui%2freact-label 31ms (cache hit)
npm http cache https://registry.npmmirror.com/@radix-ui%2freact-menubar 43ms (cache hit)
npm http cache https://registry.npmmirror.com/@radix-ui%2freact-navigation-menu 124ms (cache hit)
npm http cache https://registry.npmmirror.com/@radix-ui%2freact-popover 95ms (cache hit)
npm http cache https://registry.npmmirror.com/@radix-ui%2freact-progress 41ms (cache hit)
npm http cache https://registry.npmmirror.com/@radix-ui%2freact-radio-group 23ms (cache hit)
npm http cache https://registry.npmmirror.com/@radix-ui%2freact-scroll-area 18ms (cache hit)
npm http cache https://registry.npmmirror.com/@radix-ui%2freact-select 16ms (cache hit)
npm http cache https://registry.npmmirror.com/@radix-ui%2freact-separator 81ms (cache hit)
npm http cache https://registry.npmmirror.com/@radix-ui%2freact-slider 22ms (cache hit)
npm http cache https://registry.npmmirror.com/@radix-ui%2freact-slot 21ms (cache hit)
npm http cache https://registry.npmmirror.com/@radix-ui%2freact-switch 19ms (cache hit)
npm http cache https://registry.npmmirror.com/@radix-ui%2freact-tabs 18ms (cache hit)
npm http cache https://registry.npmmirror.com/@radix-ui%2freact-toggle 20ms (cache hit)
npm http cache https://registry.npmmirror.com/@radix-ui%2freact-toggle-group 38ms (cache hit)
npm http cache https://registry.npmmirror.com/@radix-ui%2freact-tooltip 28ms (cache hit)
npm http cache https://registry.npmmirror.com/@tailwindcss%2fvite 30ms (cache hit)
npm http cache https://registry.npmmirror.com/@tanstack%2freact-query 25ms (cache hit)
npm http cache https://registry.npmmirror.com/@tanstack%2freact-router 63ms (cache hit)
npm http cache https://registry.npmmirror.com/@tanstack%2freact-start 39ms (cache hit)
npm http cache https://registry.npmmirror.com/@rsbuild%2fcore 37ms (cache hit)
npm http cache https://registry.npmmirror.com/core-js 83ms (cache hit)
npm http cache https://registry.npmmirror.com/@tanstack%2frouter-plugin 58ms (cache hit)
npm http cache https://registry.npmmirror.com/@rsbuild%2fcore 23ms (cache hit)
